faculty,degree,curriculum,docx_id,pdf_id,chunk1_start,chunk1_end,chunk2_start,chunk2_end,chunk3_start,chunk3_end,chunk4_start,chunk4_end
คณะสาธารณสุขศาสตร์,ตรี,5. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยสิ่งแวดล้อม (ปรับปรุง 2566) ศูนย์ลำปาง,19St3TtkUs5qeZN-cBGl14LoBfvhCCRak,1EUcCeuOEihTpnzu7vc5-LDRO6KJBG6Gm,1,10,10.0,20.0,24.0,53.0,57,70
คณะสาธารณสุขศาสตร์,ตรี,3. วิทยาศาสตรบัณฑิต สาขาวิชาอาชีวอนามัยและความปลอดภัย (ปรับปรุง 2566) ศูนย์ลำปาง,1mgi3JoXd55-5uo7wv3LZMMGsvOuHmxsw,1YiIyiUx7GhdA_Zb8ny04sQE91pAXtxec,1,10,10.0,19.0,23.0,54.0,62,74
คณะสาธารณสุขศาสตร์,ตรี,1. วิทยาศาสตรบัณฑิต สาขาวิชาการสร้างเสริมสุขภาพเชิงนวัตกรรม (ปรับปรุง 2568),1RbFP1M8_gpixKSpbR8VWd5PcdM2O1WsQ,1Pitfo8CbPdvR_t48xklJVmJ5JEnChm7n,1,9,9.0,18.0,22.0,50.0,53,67
คณะวิทยาศาสตร์และเทคโนโลยี,ตรี,15. วท.บ.เทคโนโลยีการเกษตร,1u56mScImkiZdtOqZ9l7QfAgGHwc7_T8-,1ccg91_uYM-v2-njOAOqZGhrmE_K7iRb6,1,18,18.0,20.0,47.0,117.0,5,150
คณะวิทยาศาสตร์และเทคโนโลยี,ตรี,12. วท.บ.เทคโนโลยีชีวภาพ,1v7VEPL7k3IAoaNP2QvvNkt7bYaoPj-6S,1zWT0rfCjWdpGpAudGUDXmYdcROqrhmUY,1,13,13.0,27.0,30.0,72.0,76,91
คณะวิทยาศาสตร์และเทคโนโลยี,ตรี,2. FIN,1iUDD8tMeBkzDGNMf6uDZa2J_YOy-t_Pd,12-stlb8sR577gRhqQ8Sg0RUE2z9FHMFj,1,9,9.0,17.0,21.0,42.0,48,60
คณะวิทยาศาสตร์และเทคโนโลยี,ตรี,18. วท.บ.คณิตศาสตร์,1gwWIYZ85IixmONX93azaaoldIcBxGEcJ,1HxevGKdBDIspHwD5Gr2y8G0ZB1XU7pV9,1,9,9.0,23.0,27.0,56.0,61,75
คณะวิทยาศาสตร์และเทคโนโลยี,ตรี,3. วท.บ.วิทยาศาสตร์เทคโนโลยีการอาหาร,1_eSjEbbQju_1-nPRva_MIo6ZMagfB06C,10_gdaGhYrbutd4WwpSUwwcBtXvC9L4Bf,1,14,14.0,27.0,29.0,41.0,76,96
คณะวิทยาศาสตร์และเทคโนโลยี,ตรี,6. วท.บ.ฟิสิกส์,1g_joOmrXqhPx3bnxfIBXKW_XtmOEB907,15rvvktk9KYUdpHdic9Ra1THG3f7WGsg5,1,12,12.0,23.0,27.0,55.0,61,77
คณะวิทยาศาสตร์และเทคโนโลยี,ตรี,10. วท.บ.เทคโนโลยีเพื่อการพัฒนายั่งยืน,1vAvJ85TatVdjvnUHjw53MZUpBGoAk54t,1P2dwgvf-M1a36RFfSJgH97B3O1QLOJcx,1,9,9.0,18.0,22.0,49.0,53,66
คณะวิทยาศาสตร์และเทคโนโลยี,ตรี,4. วท.บ.วิทยาการคอมพิวเตอร์,1SsD-yPwZmmmj5QFvhsdfJdjN76QaNdik,1K0XotQHkb71Q-y1v1f8ndkbtjZrPFrTj,1,15,15.0,32.0,44.0,83.0,98,112
คณะวิทยาศาสตร์และเทคโนโลยี,ตรี,13. วท.บ.ประกันภัย,11C2pVxtz0IHosFPFO0DB0Xn6hqYx8gjP,1iwCe1ybM_xeZ2DRXJcHR5shV6b60VD3B,1,11,11.0,18.0,20.0,43.0,47,60
คณะวิทยาศาสตร์และเทคโนโลยี,ตรี,20. วท.บ.คอมพิวเตอร์เครือข่ายและความปลอดภัยทางไซเบอร์,1TYpYrsqHw3RcdF82X698yazMZu8LON9R,1gZf4ob2MscXVIodVEDe_Y5RhWfy02On9,1,15,15.0,24.0,28.0,57.0,73,85
คณะวิทยาศาสตร์และเทคโนโลยี,ตรี,1. BEB,1SS60J6yGt3CPcoGP68bui50j1nrwz7Ob,1x8U2CAjBt_LqtBMnjUdwFFiiK5dJJ53c,1,12,12.0,20.0,24.0,45.0,48,63
คณะวิทยาศาสตร์และเทคโนโลยี,ตรี,5.วท.บ.ฟิสิกส์อิเล็กทรอนิกส์,1p6JtDfNI9yNO1u47EzH2le77vFGXZjxW,193NHO6PfsxF5tcStrwPDTT4bU0WqlKKr,1,10,10.0,17.0,,,40,60
คณะวิทยาศาสตร์และเทคโนโลยี,ตรี,14. วท.บ.สถิติ,1tLuwBkyNhhc2Vr2dyZ4GhvrS6PSl5M7q,15uXq6-bU0tvfs-_tAxgXGwkbMyj8Al4Y,1,11,11.0,28.0,34.0,68.0,74,88
คณะวิทยาศาสตร์และเทคโนโลยี,ตรี,17. วท.บ. คณิตศาสตร์การจัดการ,1OT0XyDwTdPDbe-ADv1SKT2nhadmbbvPY,1ZtmaCEVldvkR6z62E7DIOtKC6t58Bzpz,1,11,11.0,19.0,22.0,44.0,48,64
คณะวิทยาศาสตร์และเทคโนโลยี,ตรี,19. วท.บ.เทคโนโลยีและนวัตกรรมดิจิทัล,1NeQtLgu037yBxpPeyxTKTi8ooX7YIHio,1iN6P6nYdCl1GLGuhCBwKFjlXdvDYuRI3,1,9,9.0,23.0,27.0,56.0,61,75
คณะวิทยาศาสตร์และเทคโนโลยี,ตรี,9. วท.บ.เคมี,1nrDdE11lGgRMEc4HUABuWN-ilxlqnAEh,1c4GzISqocm2MbTaCm-cat6bklGhPxy0t,1,12,12.0,13.0,28.0,78.0,81,82
คณะวิทยาศาสตร์และเทคโนโลยี,ตรี,8. วท.บ.วิทยาศาสตร์สิ่งแวดล้อม,1Z8qc-UCJfn1RwvU3gsJxonuqWGiJCA03,1ijte6xP5tGzwY7JhaTRDB9C1XPaTx0zq,1,8,8.0,17.0,20.0,47.0,49,66
คณะวิทยาศาสตร์และเทคโนโลยี,ตรี,11. วท.บ.วิทยาศาสตร์และเทคโนโลยีสิ่งทอ,1slAFbNqoDEZYuDQ5P-kr0V-KO8-MqRZE,18pqMPqydEefMbkish--nWnfO7ihUEf8g,1,11,11.0,23.0,27.0,74.0,78,94
คณะวิทยาศาสตร์และเทคโนโลยี,ตรี,16. วท.บ.คณิตศาสตร์ประยุกต์,1vkqK3vSIUwr_pAWhCMikXBUdhhCFMHPw,1Iur3vr8ctMhwmOYOCXun0U9nA4p5GZvo,1,10,10.0,20.0,22.0,52.0,56,69
คณะวิทยาศาสตร์และเทคโนโลยี,ตรี,7. วท.บ.วัสดุศาสตร์,1uJ2AWVmjq86LA9Ud6hQgUmxqfcmLxqfg,1_EhNuzyQUDnftnHGKYFVvKSnVL_nYpnJ,1,9,9.0,18.0,22.0,50.0,54,68
วิทยาลัยสหวิทยาการ,ตรี,ศศ.บ. (ปรัชญา การเมือง และเศรษฐศาสตร์) ท่าพระจันทร์,1EivZ4C9cxnX3W5KsPPuaXzVy0pc667DJ,1upOAVx516a6ZNvWiyht11k8pIgYYWZlQ,1,9,9.0,19.0,22.0,48.0,50,61
วิทยาลัยสหวิทยาการ,ตรี,ศศ.บ. (สหวิทยาการ) ศูนย์รังสิต,1nnmuLxY5quGQKRbw__IaBJrC3t4EKcKO,1Fi9lNJRxdktZ8Oqy2xeOD_P8SGF14Cn0,1,11,11.0,12.0,32.0,67.0,71,83
วิทยาลัยสหวิทยาการ,ตรี,วท.บ. (วิทยาศาสตร์และนวัตกรรมข้อมูล),1WGfoelYEzGJadyS0VlgsIynZlCyO96jL,1pESL4JtoZ0uxzZ1-eyTKQrFhajvN8Ig7,1,9,9.0,16.0,18.0,35.0,37,52
วิทยาลัยสหวิทยาการ,ตรี,ศศ.บ. (ปรัชญา การเมือง และเศรษฐศาสตร์) นานาชาติ,1n0XrdpHxom7LNE_BLCY1xAF8qlOI7agl,1hTqcgHypzuJLRsO63Bl7IOTmOVi67LEB,1,10,10.0,12.0,27.0,49.0,51,61
วิทยาลัยสหวิทยาการ,ตรี,ศศ.บ. (ปรัชญา การเมือง และเศรษฐศาสตร์) ศูนย์ลำปาง,1DJUmnQfwp6JOWNcrHmnIFLeEN1laPlca,1nQMML5ZDlv89WIqhkOyB7PVW7qX3gy_w,1,8,8.0,17.0,20.0,48.0,50,61
วิทยาลัยสหวิทยาการ,ตรี,ศศ.บ. (สหวิทยาการ) ศูนย์ลำปาง,1AGKHDdnL98ZaPfs3XR1_q3b7WuMxps9v,1XUKxpv3ag6OmNjwtPM7vqnBnE-7Khcu6,1,12,12.0,13.0,64.0,137.0,141,157
วิทยาลัยนวัตกรรม,ตรี,วทบ-นวัตกรรมบริการ66,1MXLayzFYuKjEdJaZkScjCFEC4891Y5EQ,1548JHcwmK8jEIz3E1joiDD5r7vNDVg3f,1,13,13.0,21.0,25.0,47.0,51,65
วิทยาลัยนวัตกรรม,ตรี,ศศบ-การจัดการมรดกวัฒนธรรม-66,1bfF6bsAAyeRFJar1IoZTKBONs44vJKPK,1pRStCgDNJJt3imPNfHeVnjj2Yk7TGPF_,1,11,11.0,22.0,24.0,52.0,55,65
วิทยาลัยนวัตกรรม,ตรี,วทบ-นวัตกรรมการแปรรูปดิจิทัล66,1GdwYYn6lokzCkouYV9NjS-nnt7aDooNP,1dZQKMFVkn9A13pkhue_veJm-YNgvddvx,1,10,10.0,18.0,22.0,40.0,43,52
คณะเศรษฐศาสตร์,ตรี,เศรษฐศาสตรบัณฑิต (นานาชาติ-ปรับปรุง 2566),12eLSINUIFfXkx918zIz1ovz-5DU0YVdu,19JeWR0GgGlk-ROXvkSI1uvU9eHVzr4Xw,1,10,10.0,24.0,26.0,85.0,89,102
คณะเศรษฐศาสตร์,ตรี,เศรษฐศาสตรบัณฑิต (ปรับปรุง 2566),1Gdb1axWooZ9YATPVDw3KYL1SeQ7oyF5q,1TszijVcj4WFJNfEneYZzGxTQzfvAqJki,1,12,12.0,25.0,27.0,86.0,90,100
คณะศิลปกรรมศาสตร์,ตรี,ศป.บ.ศิลปะการออกแบบพัสตราภรณ์(ปรับปรุง2566),13HjjKM7vmBqwB8Nm1hET_-bpGNdRHBO3,1EeySrskC1-UywSTdvvRcnvQGMCYm7aQV,1,12,12.0,27.0,31.0,57.0,60,80
คณะศิลปกรรมศาสตร์,ตรี,ศป.บ.ออกแบบหัตถอุตสาหกรรมสร้างสรรค์(ใหม่2569),1U64DKb7CkMTUwi62TvpoNmTszCyGimyc,1Z1yqquXlgKTRaK7AEBGMV2fbxUqti3kO,1,13,13.0,20.0,24.0,65.0,79,95
คณะศิลปกรรมศาสตร์,ตรี,ศป.บ.การละคอน(ปรับปรุง2566),1_99b8jRadk5o-5Zvv0uFCIrMEn4dlHQI,1R-yy2YdhHZvmigUX97nhWVHyl8soOwyV,1,13,13.0,26.0,30.0,58.0,61,77
คณะศิลปกรรมศาสตร์,ตรี,ศป.บ.การบริหารจัดการศิลปะ(ใหม่2568),1mKiUqi1dvoBV5BzJownogYarPNqnnT1q,1Zjr_4BKERh-aL2CyoxKrkY4YJDkeDFzD,1,12,12.0,19.0,23.0,36.0,39,56
วิทยาลัยโลกคดีศึกษา,ตรี,270868 มคอ.2 ศศ.บ. โลกคดีศึกษาและการประกอบการสังคม(นานาชาติ ปป. 2566),17dfIqnawJ-WBtwXa7Ekr637Y55h-X63G,1sCi6RBE2tDy2bygskUy4MkDwde3r5bDr,1,9,9.0,16.0,20.0,47.0,49,61
คณะสถาปัตยกรรมศาสตร์และการผังเมือง,ตรี,4-BUP66-26-การผังเมืองบัณฑิต66-กมอ.10-1-67,1vZ7uc4y4XILt5-GRkVjkguUos4TlHagL,1cKi0LRelM0-ZcU5AL96eQSiycopvxxUn,1,9,9.0,20.0,24.0,59.0,65,76
คณะสถาปัตยกรรมศาสตร์และการผังเมือง,ตรี,5-BRD66-วทบ-สถาปัตยกรรม เพื่อการพัฒนาอสังหาริมทรัพย์66-กมอ.10-1-67,1hOy-05SaiFbVMX2wnx6Q1VKIgb4jKF4l,1RrCZzxTK2BEYeQ4zWqerQRD1eqzVGSk4,1,10,10.0,20.0,24.0,54.0,56,68
คณะสถาปัตยกรรมศาสตร์และการผังเมือง,ตรี,3-BLN66-ภูมิสถาปัตยกรรมบัณฑิต66-10-1-67,13Hdll8yNyPXrHkyR7DGtaJFJM2iarCQu,1MwM9xlg74KT6QJJdwL1mTW1K5HF7M5wU,1,11,11.0,21.0,25.0,58.0,61,73
คณะสถาปัตยกรรมศาสตร์และการผังเมือง,ตรี,6-B-DBTM66-วท.บ.การจัดการออกแบบ ธุรกิจฯ66-กมอ.10-68(P20-10-68),1-25pRUN3jWbGuQE42aJ_lyhRAQ0dcf1o,1df9rSzuFNIDAnG5yOBf9OCZHD7qIJH_E,1,11,11.0,17.0,19.0,31.0,33,44
คณะสถาปัตยกรรมศาสตร์และการผังเมือง,ตรี,1-BAR66-วทบ-สถาปัตยกรรม66-กมอ.10-1-67,1vSDPuBde3GCRfhYjAN--E98TEO_uSl6-,1wJf177WdwGrJbCO-wpP6bsXJSVq4T9Vl,1,10,10.0,19.0,21.0,47.0,51,61
คณะสถาปัตยกรรมศาสตร์และการผังเมือง,ตรี,2-BIA66-สถาปัตยกรรมภายในบัณฑิต66-กมอ.10-1-67,14n917iBG18bKYSC2MCAWGuvOvLQt04TB,1kP09HGn5PjJnMObXpVwXeSHRR8Uc5OON,1,9,9.0,19.0,22.0,49.0,51,60
คณะสังคมสงเคราะห์ศาสตร์,ตรี,ศศ.บ.นโยบายสังคมและการพัฒนา  (ใหม่ 2568),1dJYqqk3xCnjCcf7Wg-5Pnfr9qPjdlC0P,16pj3J7Ftk1cqd16lIulkAgWSqvy_2vvz,1,11,11.0,17.0,20.0,22.0,50,62
