curriculum,qualification_responsible_position,name_responsible,degree_reponsible,program_responsible,institute_responsible,year_graduate_responsible
4-BUP66-26-การผังเมืองบัณฑิต66-กมอ.10-1-67,รองศาสตราจารย์ ดร.,กฤตพร ห้าวเจริญ,ศล.บ.,ประยุกตศิลปศึกษา (เกียรตินิยมอันดับ 1),มหาวิทยาลัยศิลปากร,2544
4-BUP66-26-การผังเมืองบัณฑิต66-กมอ.10-1-67,ผู้ช่วยศาสตราจารย์ ดร.,มานัส ศรีวณิช,Ph.D.,Science and Advanced Technology (City Planning),"Saga University, Japan",2556
4-BUP66-26-การผังเมืองบัณฑิต66-กมอ.10-1-67,ผู้ช่วยศาสตราจารย์ ดร.,มานัส ศรีวณิช,ผ.ม.,การวางผังเมือง,จุฬาลงกรณ์มหาวิทยาลัย,2548
4-BUP66-26-การผังเมืองบัณฑิต66-กมอ.10-1-67,ผู้ช่วยศาสตราจารย์ ดร.,มานัส ศรีวณิช,วท.บ.,ภูมิศาสตร์ (เกียรตินิยมอันดับ 2),มหาวิทยาลัยเชียงใหม่,2545
4-BUP66-26-การผังเมืองบัณฑิต66-กมอ.10-1-67,รองศาสตราจารย์ ดร.,นิจ ตันติศิรินทร์,Ph.D.,Regional Science,"Cornell University, USA",2556
4-BUP66-26-การผังเมืองบัณฑิต66-กมอ.10-1-67,รองศาสตราจารย์ ดร.,นิจ ตันติศิรินทร์,M.Sc.,Regional Science,"Cornell University, USA",2554
4-BUP66-26-การผังเมืองบัณฑิต66-กมอ.10-1-67,รองศาสตราจารย์ ดร.,นิจ ตันติศิรินทร์,M.U.P.,Urban Planning,"Harvard University, USA  ",2549
4-BUP66-26-การผังเมืองบัณฑิต66-กมอ.10-1-67,รองศาสตราจารย์ ดร.,นิจ ตันติศิรินทร์,สถ.บ.,สถาปัตยกรรม (เกียรตินิยมอันดับ 1),จุฬาลงกรณ์มหาวิทยาลัย,2546
4-BUP66-26-การผังเมืองบัณฑิต66-กมอ.10-1-67,ผู้ช่วยศาสตราจารย์,พุฒพัณณิน คำวชิระพิทักษ์,ผ.ม.,การวางแผนชุมชนเมืองและสภาพแวดล้อม,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,2547
4-BUP66-26-การผังเมืองบัณฑิต66-กมอ.10-1-67,ผู้ช่วยศาสตราจารย์,พุฒพัณณิน คำวชิระพิทักษ์,วท.บ.,ภูมิศาสตร์,มหาวิทยาลัยศรีนครินทรวิโรฒ,2540
4-BUP66-26-การผังเมืองบัณฑิต66-กมอ.10-1-67,ผู้ช่วยศาสตราจารย์,วราลักษณ์ คงอ้วน,ผ.ม.,การวางแผนภาค,จุฬาลงกรณ์มหาวิทยาลัย,2547
4-BUP66-26-การผังเมืองบัณฑิต66-กมอ.10-1-67,ผู้ช่วยศาสตราจารย์,วราลักษณ์ คงอ้วน,วท.บ.,วิทยาศาสตร์สิ่งแวดล้อม,มหาวิทยาลัยธรรมศาสตร์,2544
5-BRD66-วทบ-สถาปัตยกรรม เพื่อการพัฒนาอสังหาริมทรัพย์66-กมอ.10-1-67,ผู้ช่วยศาสตราจารย์,มณิพร สัมพันธารักษ์,สถ.ม.,สถาปัตยกรรม,มหาวิทยาลัยธรรมศาสตร์,2551
